                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.88293,                 8.6867,                      0,                0.71448,                 1.1585,                0.41191,                0.45455,                0.34873,                0.13561,                      0,                      0,                      0,                      0,                 2.1917,                 10.322,                      0,                 2.8442,                 2.9817,              0.0013553,              0.0013553,              0.0013553
                     25,                   0.97,                 8.8213,                      0,                0.90407,                  1.202,                 0.5803,                0.54545,                0.57121,                0.36519,                      0,                      0,                      0,                      0,                 1.3928,                 10.076,                      0,                 1.4546,                 1.6443,              0.0014097,              0.0014097,              0.0014097
                     26,                0.80199,                 8.9257,                      0,                0.70286,                 1.0784,                0.62597,                0.81818,                0.68146,                0.45406,                      0,                      0,                      0,                      0,                  1.454,                 10.094,                      0,                 1.3476,                 2.0267,              0.0014638,              0.0014638,              0.0014638
                     27,                0.80274,                 8.5451,                      0,                0.73654,                 1.0976,                0.79409,                0.72727,                0.62162,                0.34703,                      0,                      0,                      0,                      0,                 1.8185,                 10.105,                      0,                 1.5252,                 2.5743,              0.0015176,              0.0015176,              0.0015176
                     28,                0.78453,                  8.791,                      0,                0.70912,                 1.0805,                0.76059,                0.63636,                0.58649,                0.33167,                      0,                      0,                      0,                      0,                 1.9291,                 10.342,                      0,                 1.3803,                 2.6424,              0.0015713,              0.0015713,              0.0015713
                     29,                0.89848,                 8.4249,                      0,                0.78583,                 1.1151,                0.76059,                0.63636,                0.58649,                0.33167,                      0,                      0,                      0,                      0,                 1.9291,                 10.342,                      0,                 1.3803,                 2.6424,              0.0016246,              0.0016246,              0.0016246
                     30,                0.98666,                 8.0828,                      0,                0.79592,                 1.2064,                0.69418,                0.63636,                 0.6706,                 0.3069,                      0,                      0,                      0,                      0,                 2.1489,                  10.15,                      0,                 1.3478,                 2.6195,              0.0016778,              0.0016778,              0.0016778
                     31,                0.83844,                 8.2689,                      0,                0.82655,                 1.0507,                0.69013,                0.81045,                0.76164,                0.36281,                      0,                      0,                      0,                      0,                 2.0175,                 9.7194,                      0,                 1.3169,                 2.3116,              0.0017307,              0.0017307,              0.0017307
                     32,                0.95115,                 8.2565,                      0,                0.82469,                 1.1431,                0.69619,                0.62597,                0.67032,                0.31728,                      0,                      0,                      0,                      0,                 1.9815,                 9.4139,                      0,                 1.6757,                 2.3274,              0.0017834,              0.0017834,              0.0017834
                     33,                0.89496,                 8.0715,                      0,                0.85692,                 1.1284,                0.69619,                0.62597,                0.67032,                0.31728,                      0,                      0,                      0,                      0,                 1.9815,                 9.4139,                      0,                 1.6757,                 2.3274,              0.0018358,              0.0018358,              0.0018358
                     34,                 1.0931,                 8.2587,                      0,                0.91424,                 1.2419,                0.34205,                0.61524,                0.42592,                0.17509,                      0,                      0,                      0,                      0,                 2.1682,                 9.2339,                      0,                  2.001,                 2.5993,              0.0018693,              0.0018693,              0.0018693
                     35,                 1.0413,                 7.7492,                      0,                0.87121,                 1.2116,                0.48144,                0.67665,                0.52286,                0.19865,                      0,                      0,                      0,                      0,                 1.8875,                 9.1435,                      0,                 2.2022,                 2.4839,              0.0018693,              0.0018693,              0.0018693
                     36,                  1.044,                 8.3267,                      0,                0.89997,                 1.1733,                 0.4584,                0.81818,                0.53071,                0.22734,                      0,                      0,                      0,                      0,                 2.0299,                 8.7258,                      0,                 2.2037,                  2.425,              0.0018654,              0.0018654,              0.0018654
                     37,                0.94156,                 8.2755,                      0,                0.78495,                 1.1876,                 0.4584,                0.81818,                0.53071,                0.22734,                      0,                      0,                      0,                      0,                 2.0299,                 8.7258,                      0,                 2.2037,                  2.425,              0.0018614,              0.0018614,              0.0018614
                     38,                   1.04,                 7.9392,                      0,                0.92244,                 1.2219,                0.45391,                0.63636,                0.46751,                0.19913,                      0,                      0,                      0,                      0,                 2.3117,                 8.4868,                      0,                  1.937,                 2.5934,              0.0018574,              0.0018574,              0.0018574
