                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     22,                  1.305,                 4.6995,                 0.3796,                 1.2486,                 1.3866,                0.78615,                0.69143,                0.75294,                0.47208,                0.70402,                0.42086,                0.46026,                0.15776,                 1.3598,                 4.6739,                0.41691,                 1.2122,                 1.4491,               0.001505,               0.001505,               0.001505
                     23,                  1.252,                 4.6541,                0.37338,                 1.2265,                  1.353,                0.73659,                0.61639,                0.71144,                0.43335,                0.64294,                0.44134,                 0.4273,                0.15069,                 1.3539,                 4.7435,                 0.3959,                 1.3382,                  1.462,              0.0014803,              0.0014803,              0.0014803
                     24,                  1.281,                 4.6206,                0.37448,                 1.2309,                 1.3745,                0.74766,                0.64991,                0.72662,                0.45788,                0.57208,                0.46804,                0.43397,                 0.1499,                 1.3428,                 4.5564,                0.37655,                 1.2387,                 1.4342,              0.0014555,              0.0014555,              0.0014555
                     25,                 1.2435,                 4.4865,                0.36349,                 1.1936,                 1.3575,                0.75632,                0.65922,                0.74536,                0.47653,                0.67777,                 0.4581,                0.47658,                0.16356,                 1.3337,                 4.5673,                0.40266,                 1.2106,                 1.4278,              0.0014307,              0.0014307,              0.0014307
                     26,                 1.2253,                 4.7191,                0.38061,                  1.183,                 1.3236,                0.82368,                0.63504,                0.76079,                 0.4848,                0.71744,                0.44879,                0.48146,                0.17148,                  1.294,                 4.4619,                0.39058,                 1.1523,                 1.3787,               0.001406,               0.001406,               0.001406
                     27,                  1.209,                 4.5619,                0.37449,                 1.1456,                 1.3288,                0.80385,                0.66394,                0.76797,                0.48275,                0.65236,                0.43203,                0.44106,                0.15955,                 1.3195,                  4.611,                0.39904,                 1.2139,                 1.4162,              0.0013813,              0.0013813,              0.0013813
                     28,                 1.2225,                 4.5019,                0.36975,                 1.1884,                 1.3474,                0.78295,                0.67172,                0.77374,                0.48756,                0.67468,                0.50652,                0.51661,                0.18038,                 1.3242,                 4.4435,                0.39101,                   1.19,                 1.4143,              0.0013565,              0.0013565,              0.0013565
                     29,                 1.2007,                  4.403,                0.36261,                 1.1443,                 1.3192,                0.78729,                0.68529,                0.77345,                0.49246,                0.61009,                0.48369,                0.46881,                0.17845,                 1.2956,                 4.4758,                0.37657,                 1.1511,                 1.3877,              0.0013318,              0.0013318,              0.0013318
                     30,                 1.2006,                 4.3717,                0.37134,                 1.1545,                 1.3275,                 0.8086,                0.65549,                0.77525,                0.49791,                0.70357,                0.50838,                0.53106,                0.19257,                 1.2677,                 4.3916,                0.37305,                 1.1194,                 1.3812,               0.001307,               0.001307,               0.001307
                     31,                 1.2127,                 4.3233,                0.36362,                 1.1459,                 1.3379,                0.77562,                0.68901,                0.76124,                0.48064,                0.68479,                0.47672,                 0.4943,                0.18966,                 1.3098,                 4.3773,                0.39661,                 1.1795,                 1.4302,              0.0012822,              0.0012822,              0.0012822
